    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 05.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    1375      PL19*600      4     S235JR          500       0.6        44.7
    1376      PL16*440      1     S235JR          797       0.7        44.0
    1377      PL16*440      1     S235JR          465       0.4        25.7
    1378      PL16*440      1     S235JR         2219       2.0       122.6
    1379      PL10*161      2     S235JR          279       0.1         2.6
    1380      PL10*147      9     S235JR          220       0.1         2.0
    1381      PL10*110      18    S235JR          360       0.1         3.1
    1382      PL16*440      4     S235JR         1032       1.0        57.0
    1386      PL10*110      100   S235JR          260       0.1         2.2
    1387      PL10*209      15    S235JR          516       0.2         5.7
    1388      PL10*196      52    S235JR          373       0.1         4.2
    1389      PL10*196      21    S235JR          373       0.1         5.0
    1390      PL6*209       11    S235JR          516       0.2         3.7
    1391      PL10*196      1     S235JR          373       0.1         4.2
    1392      PL10*167      5     S235JR          220       0.1         2.7
    1393      PL10*174      9     S235JR          250       0.1         3.0
    1394      PL10*174      30    S235JR          250       0.1         3.0
    1395      PL10*209      1     S235JR          516       0.2         6.5
    1396      PL10*110      81    S235JR          290       0.1         2.5
    1397      PL10*167      1     S235JR          220       0.1         2.7
    1398      PL10*196      1     S235JR          373       0.1         5.3
    1399      PL10*209      7     S235JR          516       0.2         6.3
    1400      PL10*176      21    S235JR          373       0.1         3.5
    1401      PL10*176      48    S235JR          373       0.1         3.5
    1402      PL10*189      16    S235JR          516       0.1         5.0
    1403      PL10*189      1     S235JR          516       0.1         5.0
    1404      PL10*189      13    S235JR          516       0.1         5.0
    1405      PL10*147      1     S235JR          220       0.1         2.0
    1406      PL10*176      1     S235JR          373       0.1         3.5
    1407      PL10*154      5     S235JR          250       0.1         2.3
    1409      PL10*154      7     S235JR          250       0.1         2.3
    1410      PL10*167      4     S235JR          220       0.1         2.7
    1411      PL10*174      4     S235JR          250       0.1         3.3
    1412      PL6.2*75      5     S235JR          150       0.0         0.2
    1413      PL6*140       16    S235JR          352       0.1         2.3
    1414      PL10*255      1     S235JR          352       0.2         6.5
    1415      PL10*235      1     S235JR          352       0.1         5.0
    1416      PL10*255      11    S235JR          352       0.2         6.2
    1417      PL6*80        16    S235JR          373       0.1         1.4
    1419      PL10*255      5     S235JR          352       0.2         5.7
    1420      PL10*110      2     S235JR          190       0.0         1.6
    1421      PL6*254       3     S235JR          352       0.1         3.4
    1422      PL6*196       3     S235JR          373       0.1         2.5
    1423      PL20*600      12    S235JR          600       0.8        56.5
    1424      PL20*344      4     S235JR          344       0.3        18.6
    1425      PL6*174       8     S235JR          250       0.1         1.7
    1426      PL16*683      2     S235JR          917       1.1        69.1
    1427      PL20*390      24    S235JR          455       0.4        27.9
    1428      PL5*165       60    S235JR          350       0.1         2.3
    1429      PL20*543      1     S235JR          823       0.8        61.0
    1430      PL20*390      2     S235JR          315       0.3        19.3
    1431      PL16*633      2     S235JR          922       1.1        63.6
    1432      PL16*633      1     S235JR         1454       1.6        96.2
    1433      PL16*340      1     S235JR          390       0.3        16.7
    1434      PL16*683      3     S235JR          683       0.9        56.4
    1435      PL16*564      2     S235JR         1004       1.1        64.9
    1444      PL16*340      2     S235JR          726       0.4        25.6
    1445      PL10*181      4     S235JR          279       0.1         3.3
    1446      PL10*181      1     S235JR          279       0.1         3.3
    1447      PL10*181      1     S235JR          279       0.1         3.8
    1448      PL10*174      1     S235JR          278       0.1         3.4
    1449      PL20*500      16    S235JR          500       0.5        39.2
    1450      PL20*600      8     S235JR         1025       1.3        96.6
    1452      PL20*390      4     S235JR          455       0.4        27.9
    1453      PL16*490      2     S235JR          491       0.4        22.5
    1454      PL10*255      1     S235JR          352       0.2         6.2
    1456      PL19*630      2     S235JR          280       0.4        26.3
    1457      PL6*139       1     S235JR          139       0.0         0.9
    1458      PL6*126       2     S235JR          144       0.0         0.8
    1463      PL20*600      6     S235JR          600       0.8        56.5
    1464      PL16*470      2     S235JR          491       0.4        21.2
    1465      PL6*125       17    S235JR          350       0.1         2.0
    1466      PL6*125       1     S235JR          151       0.0         0.8
    1467      PL10*196      1     S235JR          373       0.1         4.2
    1468      PL6*140       1     S235JR          398       0.1         2.6
    1469      D16           4     S235JR          895       0.0         1.3
    1470      PL6*200       2     S235JR          240       0.1         2.3
    1471      PL6*120       1     S235JR          421       0.1         2.1
    1472      PL550*10      1     S235JR          531       0.6        23.6
    1473      PL50*870      8     S235JR          870       1.7       297.1
    Hormi***  700*500       3     Conc***       13222      32.4     11106.1
    Hormi***  700*500       2     Conc***       13396      32.9     11252.7
    Hormi***  700*400       28    Conc***        8760      19.8      5886.7
    Hormi***  700*250       10    Conc***        3800       7.6      1596.0
    Hormi***  700*150       18    Conc***        2430       4.3       612.3
    Hormi***  700*150       18    Conc***        6080      10.5      1532.2
    Hormi***  700*400       2     Conc***        7793      17.7      5237.0
    Hormi***  700*500       2     Conc***        7250      18.1      6090.0
    Hormi***  700*500       1     Conc***        7600      18.9      6384.0
    Hormi***  700*400       15    Conc***        7250      16.5      4872.0
    Hormi***  700*400       2     Conc***        7601      17.3      5108.2
    Hormi***  []250*80      8     Conc***        3800       3.9       496.1
    Hormi***  700*500       1     Conc***        8528      21.2      7163.4
    Hormi***  700*500       1     Conc***       13332      32.7     11199.2
    Hormi***  700*400       1     Conc***        7894      17.9      5304.5
    Hormi***  700*600       1     Conc***       13538      36.0     13646.7
    Hormi***  700*600       2     Conc***       13222      35.2     13327.3
    Hormi***  700*600       1     Conc***       13261      35.3     13366.7
    Hormi***  700*600       4     Conc***        8678      23.4      8747.3
    Hormi***  700*600       1     Conc***        7810      21.1      7872.3
    Hormi***  700*600       1     Conc***        8445      22.8      8512.7
    Hormi***  700*600       1     Conc***        7600      20.6      7660.8
    Hormi***  950*600       4     Conc***        8500      27.5     11628.0
    Hormi***  950*600       5     Conc***       13225      42.1     18091.4
    Hormi***  950*600       6     Conc***        7582      24.6     10371.8
    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 4
     CONTRACT:  CTIB 2026                                   Date: 05.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    Hormi***  950*600       5     Conc***       13219      42.1     18083.1
    Hormi***  950*600       4     Conc***        8516      27.5     11650.2
    Hormi***  950*600       3     Conc***       13222      42.1     18087.1
    Hormi***  950*600       5     Conc***        7650      24.9     10465.2
    Hormi***  700*600       3     Conc***       13166      35.1     13271.5
    Hormi***  700*600       4     Conc***        8516      23.0      8584.1
    Hormi***  700*400       6     Conc***        8500      19.3      5712.0
    Hormi***  950*800       3     Conc***        7802      28.8     14230.4
    Hormi***  950*800       3     Conc***        8760      32.2     15978.2
    Hormi***  950*1000      1     Conc***       13219      53.5     30138.5
    Hormi***  1500*1000     2     Conc***       55800     282.0    200880.0
    Hormi***  950*1200      2     Conc***       55797     242.2    152659.7
    Hormi***  1500*600      1     Conc***       55600     235.3    120096.0
    Hormi***  1500*600      1     Conc***       19800      85.0     42768.0
    Hormi***  1500*600      1     Conc***       36600     155.5     79056.0
    Hormi***  950*1000      1     Conc***       13222      53.5     30145.2
    Hormi***  700*500       1     Conc***        4708      12.0      3954.6
    Hormi***  700*400       2     Conc***        7851      17.8      5276.2
    Hormi***  700*500       1     Conc***       13321      32.7     11189.4
    Hormi***  700*500       1     Conc***        7535      18.8      6329.8
    Hormi***  700*500       1     Conc***        8500      21.1      7140.0
    Hormi***  700*400       1     Conc***        9260      20.9      6222.7
    Hormi***  700*500       1     Conc***        8560      21.2      7190.4
    Hormi***  700*600       1     Conc***        8451      22.8      8518.1
    Hormi***  800*400       1     Conc***        9700      23.9      7449.5
    Hormi***  700*600       1     Conc***       13285      35.4     13391.1
    Hormi***  1500*1000     1     Conc***       13210      69.0     47554.5
    Hormi***  1500*500      2     Conc***       10700      44.3     19260.0
    Hormi***  1500*1000     1     Conc***       13205      69.0     47539.8
    Hormi***  1500*1000     1     Conc***       13061      68.3     47018.8
    Hormi***  950*800       9     Conc***       25500      90.8     46512.0
    Hormi***  1500*800      2     Conc***       25500     119.7     73440.0
    Hormi***  950*800       2     Conc***        8073      29.8     14725.4
    Hormi***  950*800       1     Conc***        9359      34.3     17070.9
    Hormi***  950*800       1     Conc***        8123      29.9     14815.6
    Hormi***  950*800       1     Conc***        8117      29.9     14804.9
    Hormi***  950*800       1     Conc***        9266      33.9     16900.5
    Hormi***  1500*500      2     Conc***       10900      45.1     19620.0
    Hormi***  1500*800      1     Conc***        8627      42.1     24847.1
    Hormi***  1500*800      1     Conc***        8677      42.3     24989.5
    Hormi***  1500*800      1     Conc***        8197      40.1     23608.3
    Hormi***  1500*200      1     Conc***       27692      94.8     19938.1
